,name,year,rating,metascore,vote,description,certificate,runtime,genre,director,stars,earning
0,Logan,(2017),8.1,77        ,"618,333","
    In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",R,137 min,"
Action, Drama, Sci-Fi            ",James Mangold,"['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen', 'Boyd Holbrook']",$226.28M
1,Thor: Ragnarok,(2017),7.9,74        ,"554,348","
    Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",PG-13,130 min,"
Action, Adventure, Comedy            ",Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']",$315.06M
2,Guardians of the Galaxy Vol. 2,(2017),7.6,67        ,"541,747","
    The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",PG-13,136 min,"
Action, Adventure, Comedy            ",James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel']",$389.81M
3,Star Wars: Episode VIII - The Last Jedi,(2017),7.0,84        ,"541,054","
    Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",PG-13,152 min,"
Action, Adventure, Fantasy            ",Rian Johnson,"['Daisy Ridley', 'John Boyega', 'Mark Hamill', 'Carrie Fisher']",$620.18M
4,Wonder Woman,(2017),7.4,76        ,"529,153","
    When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",PG-13,141 min,"
Action, Adventure, Fantasy            ",Patty Jenkins,"['Gal Gadot', 'Chris Pine', 'Robin Wright', 'Lucy Davis']",$412.56M
5,Dunkirk,(2017),7.9,94        ,"520,247","
    Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",PG-13,106 min,"
Action, Drama, History            ",Christopher Nolan,"['Fionn Whitehead', 'Barry Keoghan', 'Mark Rylance', 'Tom Hardy']",$188.37M
6,Spider-Man: Homecoming,(2017),7.4,73        ,"486,528","
    Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",PG-13,133 min,"
Action, Adventure, Sci-Fi            ",Jon Watts,"['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei']",$334.20M
7,Get Out,(I) (2017),7.7,85        ,"462,563","
    A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",R,104 min,"
Horror, Mystery, Thriller            ",Jordan Peele,"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener']",$176.04M
8,It,(I) (2017),7.3,69        ,"435,604","
    In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",R,135 min,"
Horror            ",Andy Muschietti,"['Bill Skarsgård', 'Jaeden Martell', 'Finn Wolfhard', 'Sophia Lillis']",$327.48M
9,Blade Runner 2049,(2017),8.0,81        ,"432,459","
    Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",R,164 min,"
Action, Drama, Mystery            ",Denis Villeneuve,"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']",$92.05M
10,Baby Driver,(2017),7.6,86        ,"413,253","
    After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",R,113 min,"
Action, Crime, Drama            ",Edgar Wright,"['Ansel Elgort', 'Jon Bernthal', 'Jon Hamm', 'Eiza González']",$107.83M
11,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88        ,"401,566","
    A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.",R,115 min,"
Comedy, Crime, Drama            ",Martin McDonagh,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Caleb Landry Jones']",$54.51M
12,Justice League,(2017),6.4,No metascore,"365,304","
    Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",PG-13,120 min,"
Action, Adventure, Fantasy            ",Zack Snyder,"['Ben Affleck', 'Gal Gadot', 'Jason Momoa', 'Ezra Miller']",$229.02M
13,The Shape of Water,(2017),7.3,87        ,"351,777","
    At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",R,123 min,"
Adventure, Drama, Fantasy            ",Guillermo del Toro,"['Sally Hawkins', 'Octavia Spencer', 'Michael Shannon', 'Doug Jones']",$63.86M
14,John Wick: Chapter 2,(2017),7.5,75        ,"345,524","
    After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",R,122 min,"
Action, Crime, Thriller            ",Chad Stahelski,"['Keanu Reeves', 'Riccardo Scamarcio', 'Ian McShane', 'Ruby Rose']",$92.03M
15,Coco,(I) (2017),8.4,81        ,"341,855","
    Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",PG,105 min,"
Animation, Adventure, Family            ",Lee Unkrich,"['Adrian Molina', 'Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']",$209.73M
16,Jumanji: Welcome to the Jungle,(2017),6.9,No metascore,"302,548","
    Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",PG-13,119 min,"
Action, Adventure, Comedy            ",Jake Kasdan,"['Dwayne Johnson', 'Karen Gillan', 'Kevin Hart', 'Jack Black']",$404.52M
17,Beauty and the Beast,(I) (2017),7.1,65        ,"260,298","
    A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",PG,129 min,"
Family, Fantasy, Musical            ",Bill Condon,"['Emma Watson', 'Dan Stevens', 'Luke Evans', 'Josh Gad']",$504.01M
18,Kong: Skull Island,(2017),6.6,62        ,"258,938","
    After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",PG-13,118 min,"
Action, Adventure, Fantasy            ",Jordan Vogt-Roberts,"['Tom Hiddleston', 'Samuel L. Jackson', 'Brie Larson', 'John C. Reilly']",$168.05M
19,Kingsman: The Golden Circle,(2017),6.7,No metascore,"257,578","
    After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organisation in the United States is discovered. These two elite secret organisations must band together to defeat a common enemy.",R,141 min,"
Action, Adventure, Comedy            ",Matthew Vaughn,"['Taron Egerton', 'Colin Firth', 'Mark Strong', 'Channing Tatum']",$100.23M
